indicador_id,descripcion,nombre_indicador,categoria_indicador,unidad,aplica_municipal,aplica_distrital,es_indice_porcentaje,tipo_indicador,codigo_ine,link_fuente,concepto_id
21,# de pernoctaciones turísticas anuales,Número de pernoctaciones turísticas anuales (Número),turismo,#,TRUE,FALSE,0,cantidad,69307,https://www.ine.es/jaxiT3/Datos.htm?t=69307,
22,# de plazas disponibles en establecimientos turísticos,Número de plazas disponibles en establecimientos turísticos (Número),turismo,#,TRUE,FALSE,0,cantidad,69307,https://www.ine.es/jaxiT3/Datos.htm?t=69307,
4,# Edad media de la población,Edad media de la población,demográfico,edad,TRUE,TRUE,0,cantidad,31114,https://www.ine.es/jaxiT3/Tabla.htm?t=31114,
10,# Hombres,Hombres,demográfico,persona,TRUE,FALSE,0,cantidad,2882,https://www.ine.es/jaxiT3/Tabla.htm?t=2882,
11,# Mujeres,Mujeres,demográfico,persona,TRUE,FALSE,0,cantidad,2882,https://www.ine.es/jaxiT3/Tabla.htm?t=2882,
7,% Proporción de extranjeros sobre la población total,Proporción de extranjeros sobre la población total (Porcentaje),demográfico,%,TRUE,FALSE,1,porcentaje,69301,https://www.ine.es/jaxiT3/Datos.htm?t=69301,
8,# Población total,Población,demográfico,persona,FALSE,TRUE,0,cantidad,31114,https://www.ine.es/jaxiT3/Tabla.htm?t=31114,poblacion_total
29,# Población total-m,Total,demográfico,persona,FALSE,FALSE,0,cantidad,2882,https://www.ine.es/jaxiT3/Tabla.htm?t=2882,poblacion_total
2,€ Renta media por hogar,Renta neta media por hogar,socioeconómico,€,TRUE,TRUE,0,cantidad,31106,https://www.ine.es/jaxiT3/Datos.htm?t=31106,
1,€ Renta media por persona,Renta neta media por persona,socioeconómico,€,TRUE,TRUE,0,cantidad,31106,https://www.ine.es/jaxiT3/Datos.htm?t=31106,renta_persona
27,€ Renta neta media anual de los hogares,Renta neta media anual de los hogares (Euros),socioeconómico,€,TRUE,FALSE,0,cantidad,69303,https://www.ine.es/jaxiT3/Tabla.htm?t=69303,
28,€ Renta neta media anual por unidad de consumo,Renta neta media anual por unidad de consumo (Euros),socioeconómico,€,TRUE,FALSE,0,cantidad,69303,https://www.ine.es/jaxiT3/Tabla.htm?t=69303,
13,Tamaño medio del hogar,Tamaño medio del hogar,demográfico,persona,TRUE,TRUE,0,cantidad,31114,https://www.ine.es/jaxiT3/Tabla.htm?t=31114,
12,% de población menor de 18 años,Porcentaje de población menor de 18 años,demográfico,%,TRUE,TRUE,1,porcentaje,31114,https://www.ine.es/jaxiT3/Tabla.htm?t=31114,
20,% fuente de ingreso otras prestaciones,otras prestaciones,socioeconómico,%,TRUE,TRUE,1,porcentaje,31107,https://www.ine.es/jaxiT3/Tabla.htm?t=31107,
19,% fuente de ingreso otros ingresos,otros ingresos,socioeconómico,%,TRUE,TRUE,1,porcentaje,31107,https://www.ine.es/jaxiT3/Tabla.htm?t=31107,
17,% fuente de ingreso prest. Desempleo,prestaciones por desempleo,socioeconómico,%,TRUE,TRUE,1,porcentaje,31107,https://www.ine.es/jaxiT3/Tabla.htm?t=31107,
18,% fuente de ingreso salario,salario,socioeconómico,%,TRUE,TRUE,1,porcentaje,31107,https://www.ine.es/jaxiT3/Tabla.htm?t=31107,
16,% fuente ingreso: pensiones,pensiones,socioeconómico,%,TRUE,TRUE,1,porcentaje,31107,https://www.ine.es/jaxiT3/Tabla.htm?t=31107,
3,% hogares unipersonales,Porcentaje de hogares unipersonales,demográfico,%,TRUE,TRUE,1,porcentaje,31114,https://www.ine.es/jaxiT3/Tabla.htm?t=31114,
15,% poblacion > 65,Porcentaje de población de 65 y más años,demográfico,%,FALSE,TRUE,1,porcentaje,31114,https://www.ine.es/jaxiT3/Tabla.htm?t=31114,poblacion_65mas
14,% población española,Porcentaje de población española,demográfico,%,FALSE,TRUE,1,porcentaje,31114,https://www.ine.es/jaxiT3/Tabla.htm?t=31114,poblacion_nacional
26,% Proporción de empleo en servicios (NACE Rev.2 G-U),Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje),socioeconómico,%,TRUE,FALSE,1,porcentaje,69303,https://www.ine.es/jaxiT3/Tabla.htm?t=69303,
30,% Proporción de empleo en industria (NACE Rev.2 B-E),Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje),socioeconómico,%,TRUE,FALSE,1,porcentaje,69303,https://www.ine.es/jaxiT3/Tabla.htm?t=69303,
24,% Proporción de ocupados entre 20-64 años sobre la población activa,Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje),socioeconómico,%,TRUE,FALSE,1,porcentaje,69303,https://www.ine.es/jaxiT3/Tabla.htm?t=69303,
25,% Tasa de actividad,Tasa de actividad (Porcentaje),socioeconómico,%,TRUE,FALSE,1,porcentaje,69303,https://www.ine.es/jaxiT3/Tabla.htm?t=69303,
23,% Tasa de desempleo,Tasa de desempleo (Porcentaje),socioeconómico,%,TRUE,FALSE,1,porcentaje,69303,https://www.ine.es/jaxiT3/Tabla.htm?t=69303,
6,Distribución de la renta P80/P20,Distribución de la renta P80/P20,desigualdad,#,TRUE,TRUE,1,valor >1,37706,https://www.ine.es/jaxiT3/Tabla.htm?t=37706,
5,Índice de Gini,Índice de Gini,desigualdad,#,TRUE,TRUE,1,índice(0-1),37706,https://www.ine.es/jaxiT3/Tabla.htm?t=37706,
31,% Proporción de población de 15-64 años,Proporción de población de 15-64 años (Porcentaje),demográfico,%,TRUE,FALSE,1,porcentaje,69301,https://www.ine.es/jaxiT3/Datos.htm?t=69301,
32,# Población residente,Población residente (Personas),demográfico,persona,TRUE,FALSE,0,cantidad,69301,https://www.ine.es/jaxiT3/Datos.htm?t=69301,poblacion_total
33,% Proporción de población >=65 años,Proporción de población >=65 años (Porcentaje),demográfico,%,TRUE,FALSE,1,porcentaje,69301,https://www.ine.es/jaxiT3/Datos.htm?t=69301,poblacion_65mas
34,% Proporción de nacionales sobre la población total,Proporción de nacionales sobre la población total (Porcentaje),demográfico,%,TRUE,FALSE,1,porcentaje,69301,https://www.ine.es/jaxiT3/Datos.htm?t=69301,poblacion_nacional
35,% Proporción de nacidos en el extranjero sobre la población total,Proporción de nacidos en el extranjero sobre la población total (Porcentaje),demográfico,%,TRUE,FALSE,1,porcentaje,69301,https://www.ine.es/jaxiT3/Datos.htm?t=69301,
36,Tasa bruta de natalidad,Tasa bruta de natalidad (Tantos por mil de personas),demográfico,‰,TRUE,FALSE,0,tasa (‰),69301,https://www.ine.es/jaxiT3/Datos.htm?t=69301,
37,Número medio de hijos por mujer,Número medio de hijos por mujer (Número),demográfico,hijos,TRUE,FALSE,0,cantidad,69301,https://www.ine.es/jaxiT3/Datos.htm?t=69301,
38,€ Renta neta media anual por habitante,Renta neta media anual por habitante (Euros),socioeconómico,€,FALSE,FALSE,0,cantidad,69303,https://www.ine.es/jaxiT3/Tabla.htm?t=69303,renta_persona
